Approved symbol	Alias symbol	Previous symbol
ADAMTS5	ADAMTS11	
ADAMTS6	ADAM-TS6	
ADAMTS7	ADAM-TS7	
ADAMTS7	DKFZp434H204	
ADAMTS8	METH2	
ADAMTS8	FLJ41712	
ADAMTS8	ADAM-TS8	
ADAMTS9	KIAA1312	
ADAMTS10	ADAM-TS10	
ADAMTS13	VWFCP	C9orf8
ADAMTS13	TTP	C9orf8
ADAMTS13	vWF-CP	C9orf8
ADAMTS13	FLJ42993	C9orf8
ADAMTS13	MGC118899	C9orf8
ADAMTS13	MGC118900	C9orf8
ADAMTS13	DKFZp434C2322	C9orf8
ADAMTS16	ADAMTS16s	
ADAMTS17	FLJ32769	
ADAMTS17	FLJ16363	
ADAMTS19-AS1	RP11-346A9.1	
ADAMTS20	GON-1	
ADAMTSL1	ADAMTSR1	C9orf94
ADAMTSL1	FLJ35283	C9orf94
ADAMTSL2	KIAA0605	
ADAMTSL3	KIAA1233	
ADAMTSL3	punctin-2	
ADAMTSL4	DKFZP434K1772	TSRC1
ADAMTSL4-AS1	FLJ45786	C1orf138
ADAP1	GCS1L	CENTA1
ADAR	ADAR1	IFI4
ADAR	ADAR1	G1P1
ADARB1	ADAR2	
ADARB1	DRADA2	
ADARB1	ADAR2g	
ADARB1	DRABA2	
ADARB1	RED1	
ADARB1	hRED1	
ADARB1	ADAR2a-L1	
ADARB1	ADAR2a-L2	
ADARB1	ADAR2a-L3	
ADARB1	ADAR2a	
ADARB1	ADAR2b	
ADARB1	ADAR2c	
ADARB1	ADAR2d	
ADARB2	RED2	
ADARB2	hRED2	
ADARB2	ADAR3	
ADARB2-AS1	bA466B20.1	C10orf109
ADARB2-AS1	bA466B20.1	NCRNA00168
ADAT2	dJ20N2.1	DEADC1
ADAT2	TAD2	DEADC1
ADAT3	TAD3	
ADCK1	FLJ39600	
ADCK2	MGC20727	
ADCK3	COQ8	CABC1
ADCK3	SCAR9	CABC1
ADCK4	FLJ12229	
ADCK4	COQ8	
ADCK5	FLJ35454	
ADCY1	AC1	
ADCY2	HBAC2	
ADCY2	KIAA1060	
ADCY2	AC2	
ADCY3	AC3	
ADCY4	AC4	
ADCY5	AC5	
ADCY6	AC6	
ADCY7	KIAA0037	
ADCY7	AC7	
ADCY8	HBAC1	ADCY3
ADCY8	AC8	ADCY3
ADCY9	AC9	
ADCY10	SAC	
ADCY10	Sacy	
ADCY10	SACI	
ADCY10	HCA2	
ADCY10	RP1-313L4.2	
ADCYAP1	PACAP	
ADCYAP1R1	PAC1	
ADCYAP1R1	PACAPR	
ADCYAP1R1	PAC1R	
ADD2	ADDB	
ADGB	FLJ23121	C6orf103
ADGB	dJ408K24.1	C6orf103
ADGRA1	KIAA1828	GPR123
ADGRA2	TEM5	GPR124
ADGRA2	DKFZp434C211	GPR124
ADGRA2	DKFZp434J0911	GPR124
ADGRA2	KIAA1531	GPR124
ADGRA2	FLJ14390	GPR124
ADGRA3	FLJ38547	GPR125
ADGRA3	PGR21	GPR125
ADGRB3	KIAA0550	BAI3
ADGRD1	DKFZp434B1272	GPR133
ADGRD1	PGR25	GPR133
ADGRD2	PGR24	GPR144
ADGRE2	CD312	EMR2
ADGRE4P	PGR16	GPR127
ADGRE4P	PGR16	EMR4
ADGRE4P	PGR16	EMR4P
ADGRE5	TM7LN1	CD97
ADGRF1	hGPCR36	GPR110
ADGRF1	PGR19	GPR110
ADGRF2	hGPCR35	GPR111
ADGRF2	PGR20	GPR111
ADGRF3	hGPCR37	GPR113
ADGRF3	PGR23	GPR113
ADGRF4	FLJ38076	GPR115
ADGRF4	PGR18	GPR115
ADGRF5	DKFZp564O1923	GPR116
ADGRF5	KIAA0758	GPR116
ADGRG1	TM7LN4	GPR56
ADGRG1	TM7XN1	GPR56
ADGRG2	HE6	GPR64
ADGRG2	TM7LN2	GPR64
ADGRG2	EDDM6	GPR64
ADGRG3	Pb99	GPR97
ADGRG3	PGR26	GPR97
ADGRG4	RP1-299I16	GPR112
ADGRG4	PGR17	GPR112
ADGRG5	PGR27	GPR114
ADGRG6	FLJ14937	GPR126
ADGRG7	FLJ14454	GPR128
ADGRL1	KIAA0821	LPHN1
ADGRL1	CIRL1	LPHN1
ADGRL1	LEC2	LPHN1
ADGRL2	KIAA0786	LPHH1
ADGRL2	KIAA0786	LPHN2
ADGRL2	LEC1	LPHH1
ADGRL2	LEC1	LPHN2
ADGRL3	KIAA0768	LPHN3
ADGRL3	LEC3	LPHN3
ADGRL4	ETL	ELTD1
ADGRV1	DKFZp761P0710	USH2C
ADGRV1	DKFZp761P0710	MASS1
ADGRV1	DKFZp761P0710	GPR98
ADGRV1	KIAA0686	USH2C
ADGRV1	KIAA0686	MASS1
ADGRV1	KIAA0686	GPR98
ADGRV1	FEB4	USH2C
ADGRV1	FEB4	MASS1
ADGRV1	FEB4	GPR98
ADGRV1	VLGR1	USH2C
ADGRV1	VLGR1	MASS1
ADGRV1	VLGR1	GPR98
ADH4	ADH-2	
ADH5	ADH-3	FDH
ADH5	ADHX	FDH
ADH5P4	bA707M13.2	ADH5B
ADH6	ADH-5	
ADH7	ADH-4	
ADHFE1	ADHFe1	
ADHFE1	FLJ32430	
ADI1	SIPL	
ADI1	MTCBP-1	
ADI1	ARD	
ADI1	APL1	
ADI1	FLJ10913	
ADI1	HMFT1638	
ADI1	mtnD	
ADIG	MGC39724	
ADIG	SMAF1	
ADIG	RP5-1100H13.2	
ADIPOQ	ACRP30	ACDC
ADIPOQ	AdipoQ	ACDC
ADIPOQ	apM1	ACDC
ADIPOQ	GBP28	ACDC
ADIPOQ	adiponectin	ACDC
ADIPOR1	PAQR1	
ADIPOR1	ACDCR1	
ADIPOR2	PAQR2	
ADIPOR2	ACDCR2	
ADIRF	APM2	C10orf116
ADIRF	AFRO	C10orf116
ADK	AK	
ADM	AM	
ADM2	AM2	
ADM2	FLJ21135	
ADM5	AM5	C19orf76
ADNP	KIAA0784	
ADNP	ADNP1	
ADNP2	KIAA0863	ZNF508
ADO	FLJ14547	C10orf22
ADORA1	RDC7	
ADORA2A	RDC8	ADORA2
ADORA2A-AS1	FLJ34651	C22orf45
ADORA3	AD026	
ADPGK	DKFZp434B195	
ADPGK	ADP-GK	
ADPRH	ARH1	
ADPRHL1	ARH2	
ADPRHL2	ARH3	
ADPRHL2	FLJ20446	
ADPRM	MDS006	C17orf48
ADRA1A	ADRA1L1	ADRA1C
ADRA1D	ADRA1R	
ADRA1D	ADRA1A	
ADRA1D	ADRA1	
ADRA2A	ADRAR	ADRA2
ADRA2A	ADRAR	ADRA2R
ADRA2B	ADRARL1	ADRA2L1
ADRA2B	ADRARL1	ADRA2RL1
ADRA2C	ADRARL2	ADRA2L2
ADRA2C	ADRARL2	ADRA2RL2
ADRB2	ADRBR	ADRB2R
ADRB2	BAR	ADRB2R
ADRB2	B2AR	ADRB2R
ADRBK1	GRK2	
ADRBK1	BARK1	
ADRBK2	GRK3	
ADRBK2	BARK2	
ADRM1	GP110	
ADRM1	Rpn13	
ADRM1	ARM1	
ADSSL1	FLJ38602	
ADTRP	dJ413H6.1	C6orf105
ADTRP	AIG1L	C6orf105
AEBP1	ACLP	
AEBP2	MGC17922	
AEN	FLJ12484	ISG20L1
AEN	FLJ12562	ISG20L1
AES	GRG5	
AES	TLE5	
AFAP1	AFAP-110	
AFAP1	AFAP	
AFAP1-AS1	MGC10981	AFAP1AS
AFAP1-AS1	MGC10981	AFAP1-AS
AFAP1L1	FLJ36748	
AFAP1L2	FLJ14564	KIAA1914
AFAP1L2	Em:AC005383.4	KIAA1914
AFAP1L2	XB130	KIAA1914
AFF1	AF-4	PBM1
AFF1	AF-4	MLLT2
AFF1	AF4	PBM1
AFF1	AF4	MLLT2
AFF2	FRAXE	FMR2
AFF3	MLLT2-like	LAF4
AFF4	AF5Q31	
